xAcc, yAcc, zAcc, xGyro, yGyro, zGyro, steeringPercent, acceleratorPercent, coures, targetCourse
-904,-476,13296,44,29,212,10,-1,0,0
-1144,-404,13436,26,-10,205,10,0,0,0
-1112,-556,13372,26,30,216,10,-1,0,0
-1088,-496,13344,16,35,193,10,-2,0,0
-1176,-516,13460,34,24,190,10,0,0,0
-1100,-432,13392,31,24,173,10,0,0,0
-1068,-448,13448,27,23,201,10,0,0,0
-1024,-388,13252,30,27,194,10,-2,0,0
-1036,-364,13340,34,15,193,10,-2,0,0
-988,-476,13352,14,14,205,10,-2,0,0
-1056,-388,13388,22,19,222,10,-2,0,0
-904,-468,13392,11,3,202,10,-2,0,0
-1124,-472,13256,31,2,188,10,-2,0,0
-1164,-356,13560,10,10,201,10,0,0,0
-1116,-444,13372,21,11,199,10,0,0,0
-928,-376,13396,46,29,207,10,0,0,0
-1084,-452,13212,41,29,224,10,-2,0,0
-1084,-400,13364,49,18,195,10,0,0,0
-1240,-392,13288,29,14,196,10,0,0,0
-1004,-580,13484,17,36,201,10,0,0,0
-1012,-416,13488,28,19,192,10,-2,0,0
-1104,-528,13448,23,26,187,10,0,0,0
-984,-368,13340,-7,-2,200,10,0,0,0
-1144,-408,13456,29,-25,184,10,-2,0,0
-1140,-448,13268,22,33,202,10,-2,0,0
-1052,-572,13416,33,19,205,10,-2,0,0
-1124,-492,13380,20,11,199,10,0,0,0
-952,-408,13384,29,31,192,10,0,0,0
-1120,-356,13352,20,46,200,10,-2,0,0
-1092,-484,13340,25,21,209,10,-2,0,0
-972,-396,13436,24,8,201,10,-2,0,0
-984,-392,13248,9,7,203,10,-2,0,0
-1040,-416,13340,36,25,200,10,0,0,0
-1108,-488,13440,16,30,198,10,0,0,0
-1108,-428,13396,35,5,190,10,0,0,0
-1116,-444,13376,36,8,181,10,0,0,0
-956,-400,13352,22,32,202,10,0,0,0
-1124,-368,13344,22,23,196,10,-2,0,0
-1100,-508,13420,27,7,194,10,-2,0,0
-1060,-484,13184,45,27,188,10,-2,0,0
-1076,-488,13436,22,23,195,10,-2,0,0
-1040,-412,13396,23,13,198,10,-2,0,0
-1032,-444,13520,31,5,184,10,0,0,0
-1108,-452,13348,21,9,199,10,0,0,0
-1000,-500,13324,34,28,198,10,-2,0,0
-1072,-504,13376,41,11,200,10,-2,0,0
-948,-444,13312,29,31,189,10,0,0,0
-1076,-324,13484,38,24,201,10,0,0,0
-1036,-428,13412,44,18,181,10,0,0,0
-1000,-500,13312,33,2,208,10,0,0,0
-1136,-520,13404,31,12,208,10,-2,0,0
-1048,-512,13424,47,17,209,10,0,0,0
-1080,-400,13320,40,9,201,10,-2,0,0
-1076,-396,13392,24,22,206,10,-2,0,0
-964,-436,13544,35,6,206,11,-2,0,0
-1028,-444,13524,33,34,198,11,0,0,0
-1000,-404,13376,31,41,182,11,-2,0,0
-1152,-432,13320,35,27,219,11,-2,0,0
-1208,-372,13516,36,4,205,11,0,0,0
-1044,-416,13352,-7,36,215,11,-2,0,0
-928,-500,13404,17,19,213,11,-2,0,0
-1132,-364,13572,18,1,195,11,-2,0,0
-1076,-380,13284,43,19,206,11,0,0,0
-1024,-372,13372,16,30,223,11,0,0,0
-1000,-412,13328,17,31,211,11,0,0,0
-1076,-472,13340,31,11,194,11,0,0,0
-1020,-412,13364,27,40,200,11,0,0,0
-1076,-456,13476,16,18,186,10,-2,0,0
-1044,-444,13272,32,27,198,10,0,0,0
-1096,-344,13488,32,15,195,10,0,0,0
-1060,-488,13300,33,24,190,10,0,0,0
-992,-512,13240,48,-1,202,10,0,0,0
-1152,-456,13440,21,5,210,10,0,0,0
-1168,-432,13476,18,13,200,10,0,0,0
-1084,-408,13416,57,16,204,10,0,0,0
-1112,-416,13520,22,19,190,10,0,0,0
-1096,-420,13420,28,21,194,10,0,0,0
-1048,-468,13248,47,24,193,10,0,0,0
-1056,-472,13592,32,14,211,10,0,0,0
-1172,-436,13396,38,15,217,10,-1,0,0
-1052,-480,13260,35,36,200,10,-1,0,0
-1060,-400,13360,14,26,219,10,-1,0,0
-1052,-528,13336,7,17,196,10,0,0,0
-1116,-320,13376,22,7,179,10,-1,0,0
-1188,-448,13264,48,33,197,10,0,0,0
-1156,-404,13452,35,5,173,10,0,0,0
-1092,-416,13432,35,22,200,10,0,0,0
-1076,-480,13416,38,14,202,10,0,0,0
-992,-512,13360,0,9,203,10,0,0,0
-1116,-456,13276,36,21,217,10,0,0,0
-1120,-304,13392,44,40,219,10,0,0,0
-1012,-432,13356,24,19,203,10,0,0,0
-1204,-492,13360,13,23,197,10,-2,0,0
-1056,-452,13296,33,12,173,10,-2,0,0
-1080,-432,13316,33,7,217,10,-2,0,0
-1076,-392,13464,28,30,207,10,0,0,0
-1060,-456,13280,37,16,197,10,-2,0,0
-1096,-492,13400,13,4,209,10,-2,0,0
-1064,-504,13496,16,20,204,10,-2,0,0
-1100,-356,13452,8,17,209,10,-2,0,0
-1088,-432,13372,8,6,199,10,-2,0,0
-1080,-440,13280,24,5,197,10,-2,0,0
-1076,-368,13320,28,9,206,10,-2,0,0
-1088,-508,13180,21,10,201,10,0,0,0
-1152,-356,13452,37,35,188,10,0,0,0
-1036,-448,13332,30,29,197,10,-2,0,0
-1060,-292,13292,24,16,184,10,-2,0,0
-1064,-436,13416,23,26,188,10,0,0,0
-1092,-404,13332,12,29,203,10,-2,0,0
-996,-460,13320,12,27,210,10,-2,0,0
-1092,-428,13508,37,20,190,10,0,0,0
-1044,-492,13368,33,14,180,10,0,0,0
-1120,-584,13400,31,37,201,10,0,0,0
-1100,-456,13336,42,18,208,10,0,0,0
-1064,-456,13424,35,20,186,10,0,0,0
-1140,-240,13340,43,16,201,10,0,0,0
-988,-500,13324,26,39,194,10,0,0,0
-1092,-388,13320,23,17,192,10,-2,0,0
-1068,-440,13416,37,40,187,10,0,0,0
-1016,-364,13408,22,12,191,10,0,0,0
-1036,-540,13448,24,24,196,10,0,0,0
-1000,-452,13372,19,12,206,10,-2,0,0
-1068,-484,13404,32,14,174,10,-2,0,0
-1032,-372,13308,16,19,192,10,0,0,0
-1156,-528,13336,29,3,205,10,0,0,0
-1160,-488,13484,26,-2,204,10,0,0,0
-1108,-500,13536,29,19,208,10,0,0,0
-1000,-480,13476,57,0,194,10,0,0,0
-1064,-372,13292,27,21,198,10,0,0,0
-1032,-332,13364,25,32,197,10,0,0,0
-1052,-376,13264,40,8,188,10,-2,0,0
-1068,-380,13420,22,7,186,10,0,0,0
-1060,-428,13304,21,22,187,10,0,0,0
-980,-348,13496,46,24,188,10,-2,0,0
-1160,-520,13456,19,0,191,10,-2,0,0
-1000,-452,13488,35,20,186,10,-2,0,0
-1152,-512,13268,34,11,190,10,0,0,0
-1164,-468,13376,17,0,206,10,0,0,0
-1200,-388,13336,35,12,201,10,0,0,0
-1152,-396,13408,32,19,194,10,0,0,0
-1096,-400,13332,45,41,191,10,-2,0,0
-952,-420,13340,16,11,192,10,0,0,0
-928,-536,13472,15,30,205,10,-1,0,0
-1152,-388,13380,42,31,212,10,-1,0,0
-976,-432,13272,40,13,199,10,-1,0,0
-1076,-428,13308,48,36,174,10,0,0,0
-1012,-512,13472,41,22,182,10,0,0,0
-992,-416,13632,37,15,188,10,0,0,0
-1008,-432,13496,21,13,195,10,0,0,0
-1056,-360,13360,28,14,202,10,0,0,0
-1072,-460,13380,31,22,186,10,0,0,0
-1080,-448,13372,45,13,200,10,0,0,0
-1128,-448,13472,15,34,215,10,0,0,0
-1104,-524,13400,31,29,208,10,0,0,0
-1072,-436,13328,3,12,218,10,-1,0,0
-1024,-420,13116,8,22,202,10,-2,0,0
-1092,-408,13288,32,26,205,10,-2,0,0
-932,-488,13180,22,27,202,10,-2,0,0
-1076,-524,13512,46,4,185,10,-2,0,0
-992,-464,13444,32,45,203,10,0,0,0
-1052,-472,13288,54,20,200,10,-2,0,0
-1192,-408,13448,19,10,190,10,-2,0,0
